zip,cd
85717,0402
85718,0402
85719,0402
85728,0402
85730,0402
85731,0402
85732,0402
85733,0402
85740,0402
85741,0402
85742,0402
85743,0402
85744,0402
85745,0402
85747,0402
85748,0402
85749,0402
85750,0402
85751,0402
85752,0402
85756,0402
85033,0403
85035,0403
85037,0403
85043,0403
85139,0403
85305,0403
85307,0403
85321,0403
85322,0403
85323,0403
85326,0403
85329,0403
85333,0403
85336,0403
85337,0403
85338,0403
85340,0403
85341,0403
85343,0403
85349,0403
85350,0403
85353,0403
85354,0403
85364,0403
85365,0403
85366,0403
85392,0403
85601,0403
85611,0403
85621,0403
85622,0403
85624,0403
85628,0403
85629,0403
85633,0403
85634,0403
85637,0403
85639,0403
85640,0403
85645,0403
85646,0403
85648,0403
85653,0403
85701,0403
85702,0403
85703,0403
85705,0403
85706,0403
85709,0403
85713,0403
85714,0403
85719,0403
85721,0403
85723,0403
85724,0403
85725,0403
85726,0403
85734,0403
85735,0403
85736,0403
85743,0403
85745,0403
85746,0403
85754,0403
85756,0403
85757,0403
85087,0404
85117,0404
85118,0404
85119,0404
85120,0404
85128,0404
85132,0404
85140,0404
85142,0404
85143,0404
85178,0404
85212,0404
85215,0404
85262,0404
85263,0404
85320,0404
85324,0404
85325,0404
85328,0404
85331,0404
85332,0404
85333,0404
85334,0404
85340,0404
85342,0404
85344,0404
85346,0404
85347,0404
85348,0404
85352,0404
85354,0404
85355,0404
85356,0404
85357,0404
85359,0404
85360,0404
85361,0404
85362,0404
85364,0404
85365,0404
85367,0404
85383,0404
85387,0404
85390,0404
85396,0404
85539,0404
85541,0404
85544,0404
85545,0404
85547,0404
85553,0404
85554,0404
86021,0404
86301,0404
86302,0404
86303,0404
86304,0404
86305,0404
86312,0404
86313,0404
86314,0404
86315,0404
86320,0404
86321,0404
86323,0404
86324,0404
86325,0404
86326,0404
86327,0404
86329,0404
86331,0404
86332,0404
86333,0404
86334,0404
86337,0404
86338,0404
86343,0404
86401,0404
86402,0404
86403,0404
86404,0404
86405,0404
86406,0404
86409,0404
86411,0404
86412,0404
86413,0404
86426,0404
86427,0404
86429,0404
86430,0404
86431,0404
86432,0404
86433,0404
86436,0404
86437,0404
86438,0404
86439,0404
86440,0404
86441,0404
86442,0404
86443,0404
86444,0404
86445,0404
86446,0404
85120,0405
85127,0405
85142,0405
85201,0405
85203,0405
85204,0405
85205,0405
85206,0405
85207,0405
85208,0405
85209,0405
85212,0405
85213,0405
85214,0405
85215,0405
85216,0405
85224,0405
85225,0405
85233,0405
85234,0405
85236,0405
85248,0405
85249,0405
85275,0405
85277,0405
85286,0405
85295,0405
85296,0405
85297,0405
85298,0405
85299,0405
85020,0406
85021,0406
85022,0406
85023,0406
85024,0406
85027,0406
85028,0406
85029,0406
85032,0406
85046,0406
85050,0406
85051,0406
85053,0406
85054,0406
85071,0406
85078,0406
85080,0406
85083,0406
85085,0406
85086,0406
85203,0406
85250,0406
85251,0406
85252,0406
85253,0406
85254,0406
85255,0406
85256,0406
85258,0406
85259,0406
85260,0406
85261,0406
85262,0406
85263,0406
85264,0406
85266,0406
85267,0406
85268,0406
85269,0406
85271,0406
85308,0406
85310,0406
85327,0406
85331,0406
85377,0406
85001,0407
85002,0407
85003,0407
85004,0407
85005,0407
85006,0407
85007,0407
85008,0407
85009,0407
85011,0407
85012,0407
85013,0407
85014,0407
85015,0407
85016,0407
85017,0407
85018,0407
85019,0407
85021,0407
85026,0407
85030,0407
85031,0407
85033,0407
85034,0407
85035,0407
85036,0407
85040,0407
85041,0407
85042,0407
85043,0407
85044,0407
85051,0407
85061,0407
85063,0407
85066,0407
85067,0407
85074,0407
85079,0407
85082,0407
85283,0407
85301,0407
85303,0407
85305,0407
85311,0407
85339,0407
85353,0407
85083,0408
85085,0408
85086,0408
85087,0408
85301,0408
85302,0408
85303,0408
85304,0408
85305,0408
85306,0408
85307,0408
85308,0408
85309,0408
85310,0408
85312,0408
85318,0408
85331,0408
85335,0408
85338,0408
85340,0408
85345,0408
85351,0408
85355,0408
85361,0408
85363,0408
85372,0408
85373,0408
85374,0408
85375,0408
85376,0408
85378,0408
85379,0408
85380,0408
85381,0408
85382,0408
85383,0408
85385,0408
85387,0408
85388,0408
85395,0408
85008,0409
85010,0409
85012,0409
85013,0409
85014,0409
85016,0409
85018,0409
85020,0409
85021,0409
85044,0409
85045,0409
85048,0409
85051,0409
85060,0409
85064,0409
85068,0409
85069,0409
85070,0409
85076,0409
85201,0409
85202,0409
85203,0409
85204,0409
85210,0409
85211,0409
85224,0409
85225,0409
85226,0409
85244,0409
85246,0409
85251,0409
85253,0409
85257,0409
85274,0409
85280,0409
85281,0409
85282,0409
85283,0409
85284,0409
85285,0409
85287,0409
71601,0501
71630,0501
71638,0501
71639,0501
71640,0501
71643,0501
71644,0501
71653,0501
71654,0501
71655,0501
71662,0501
71663,0501
71667,0501
71670,0501
71674,0501
71676,0501
72003,0501
72004,0501
72005,0501
72006,0501
72007,0501
72010,0501
72014,0501
72017,0501
72020,0501
72021,0501
72023,0501
72024,0501
72026,0501
72029,0501
72031,0501
72036,0501
72037,0501
72038,0501
72040,0501
72041,0501
72042,0501
72043,0501
72044,0501
72046,0501
72048,0501
72051,0501
72055,0501
72059,0501
