district,state_id,zip
2,1,36121
2,1,36123
2,1,36124
2,1,36125
2,1,36301
2,1,36302
2,1,36303
2,1,36305
2,1,36310
2,1,36311
2,1,36312
2,1,36313
2,1,36314
2,1,36316
2,1,36317
2,1,36318
2,1,36319
2,1,36320
2,1,36321
2,1,36322
2,1,36323
2,1,36330
2,1,36340
2,1,36343
2,1,36344
2,1,36345
2,1,36346
2,1,36349
2,1,36350
2,1,36351
2,1,36352
2,1,36353
2,1,36360
2,1,36361
2,1,36362
2,1,36370
2,1,36371
2,1,36373
2,1,36374
2,1,36375
2,1,36376
2,1,36401
2,1,36420
2,1,36421
2,1,36432
2,1,36442
2,1,36453
2,1,36454
2,1,36455
2,1,36456
2,1,36460
2,1,36467
2,1,36471
2,1,36473
2,1,36474
2,1,36475
2,1,36476
2,1,36477
2,1,36483
2,1,36502
2,1,36703
2,1,36749
2,1,36758
3,1,30165
3,1,31905
3,1,35004
3,1,35010
3,1,35014
3,1,35032
3,1,35044
3,1,35052
3,1,35054
3,1,35072
3,1,35082
3,1,35089
3,1,35094
3,1,35096
3,1,35112
3,1,35120
3,1,35121
3,1,35125
3,1,35128
3,1,35131
3,1,35133
3,1,35135
3,1,35146
3,1,35149
3,1,35150
3,1,35151
3,1,35160
3,1,35173
3,1,35178
3,1,35901
3,1,35903
3,1,35905
3,1,35906
3,1,35953
3,1,35954
3,1,35959
3,1,35960
3,1,35961
3,1,35967
3,1,35972
3,1,35973
3,1,35983
3,1,35987
3,1,36013
3,1,36026
3,1,36027
3,1,36029
3,1,36031
3,1,36039
3,1,36047
3,1,36052
3,1,36057
3,1,36064
3,1,36065
3,1,36075
3,1,36078
3,1,36083
3,1,36087
3,1,36088
3,1,36089
3,1,36104
3,1,36116
3,1,36117
3,1,36119
3,1,36130
3,1,36131
3,1,36201
3,1,36202
3,1,36203
3,1,36204
3,1,36205
3,1,36206
3,1,36207
3,1,36250
3,1,36251
3,1,36253
3,1,36254
3,1,36255
3,1,36256
3,1,36257
3,1,36258
3,1,36260
3,1,36261
3,1,36262
3,1,36263
3,1,36264
3,1,36265
3,1,36266
3,1,36267
3,1,36268
3,1,36269
3,1,36271
3,1,36272
3,1,36273
3,1,36274
3,1,36275
3,1,36276
3,1,36277
3,1,36278
3,1,36279
3,1,36280
3,1,36801
3,1,36803
3,1,36804
3,1,36830
3,1,36831
3,1,36832
3,1,36849
3,1,36850
3,1,36851
3,1,36852
3,1,36853
3,1,36854
3,1,36855
3,1,36856
3,1,36858
3,1,36860
3,1,36861
3,1,36862
3,1,36863
3,1,36865
3,1,36866
3,1,36867
3,1,36868
3,1,36869
3,1,36870
3,1,36871
3,1,36874
3,1,36875
3,1,36877
3,1,36879
4,1,35006
4,1,35016
4,1,35019
4,1,35031
4,1,35033
4,1,35038
4,1,35053
4,1,35055
4,1,35056
4,1,35057
4,1,35058
4,1,35062
4,1,35063
4,1,35070
4,1,35077
4,1,35083
4,1,35087
4,1,35098
4,1,35121
4,1,35130
4,1,35148
4,1,35175
4,1,35179
4,1,35401
4,1,35406
4,1,35444
4,1,35446
4,1,35452
4,1,35457
4,1,35458
4,1,35466
4,1,35473
4,1,35475
4,1,35476
4,1,35480
4,1,35490
4,1,35501
4,1,35502
4,1,35503
4,1,35504
4,1,35540
4,1,35541
4,1,35542
4,1,35543
4,1,35544
4,1,35545
4,1,35546
4,1,35548
4,1,35549
4,1,35550
4,1,35551
4,1,35552
4,1,35553
4,1,35554
4,1,35555
4,1,35559
4,1,35560
4,1,35563
4,1,35564
4,1,35565
4,1,35570
4,1,35571
4,1,35572
4,1,35573
4,1,35574
4,1,35575
4,1,35576
4,1,35577
4,1,35578
4,1,35579
4,1,35580
4,1,35581
4,1,35582
4,1,35584
4,1,35585
4,1,35586
4,1,35587
4,1,35592
4,1,35593
4,1,35594
4,1,35603
4,1,35616
4,1,35618
4,1,35619
4,1,35621
4,1,35622
4,1,35643
4,1,35646
4,1,35650
4,1,35651
4,1,35653
4,1,35654
4,1,35660
4,1,35661
4,1,35672
4,1,35673
4,1,35674
4,1,35747
4,1,35754
4,1,35755
4,1,35760
4,1,35765
4,1,35769
4,1,35771
4,1,35776
4,1,35901
4,1,35902
4,1,35903
4,1,35904
4,1,35905
4,1,35906
4,1,35907
4,1,35950
4,1,35951
4,1,35952
4,1,35954
4,1,35956
4,1,35957
4,1,35959
4,1,35961
4,1,35962
4,1,35963
4,1,35964
4,1,35966
4,1,35967
4,1,35968
4,1,35971
4,1,35972
4,1,35973
4,1,35974
4,1,35975
4,1,35976
4,1,35978
4,1,35979
4,1,35980
4,1,35981
4,1,35983
4,1,35984
4,1,35986
4,1,35988
4,1,35989
4,1,35990
4,1,36040
4,1,36271
4,1,36272
5,1,35016
5,1,35019
5,1,35087
5,1,35175
5,1,35179
5,1,35601
5,1,35602
5,1,35603
5,1,35610
5,1,35611
5,1,35612
5,1,35613
5,1,35614
5,1,35615
5,1,35617
5,1,35619
5,1,35620
5,1,35621
5,1,35622
5,1,35630
5,1,35631
5,1,35632
5,1,35633
5,1,35634
5,1,35640
5,1,35645
5,1,35647
5,1,35648
5,1,35649
5,1,35652
5,1,35670
5,1,35671
5,1,35673
5,1,35677
5,1,35739
5,1,35740
5,1,35741
5,1,35742
5,1,35744
5,1,35745
5,1,35746
5,1,35748
5,1,35749
5,1,35750
5,1,35751
5,1,35752
5,1,35754
5,1,35755
5,1,35756
5,1,35757
5,1,35758
5,1,35759
5,1,35760
5,1,35761
5,1,35762
5,1,35763
5,1,35764
